id,transportation_mode,provider,starting_point,transportation_class,departure_location,arrival_location,distance,price
64,Bus,Dewi Sri,nearest bus terminal,Suite,Gresik,Yogyakarta,350.08148965766696,262561.1172432502
65,Bus,Dewi Sri,nearest bus terminal,Economic,Tuban,Yogyakarta,222.3379269,111168.96345595749
66,Bus,SAN (Siliwangi Antar Nusa),nearest bus terminal,Economic,Jombang,Yogyakarta,211.7850913076902,105892.54565384511
67,Bus,Lorena,nearest bus terminal,Business,Banjar,Yogyakarta,732.5899586046614,476183.4730930299
68,Train,PT KAI,Solo Jebres,Business,Surakarta,Yogyakarta,68.04500135455822,70766.80140874056
69,Plane,Batik Air,Bandar Udara H.A.S. Hanandjoeddin d.h. Bandar Udara Buluh Tumbang,Business,Sumatera Selatan,Yogyakarta,877.9380166727185,1711979.132511801
70,Bus,Budiman,nearest bus terminal,Economic,Boyolali,Yogyakarta,75.14059220340893,37570.296101704465
71,Bus,Lorena,nearest bus terminal,Suite,Sumatera Selatan,Yogyakarta,877.9380166727185,658453.5125045389
72,Bus,Hiba,nearest bus terminal,Economic,Kalimantan Selatan,Yogyakarta,786.7319481865729,393365.9740932865
73,Bus,Mayasari,nearest bus terminal,Business,Blitar,Yogyakarta,198.62929149028835,129109.03946868744
74,Bus,Rosalia Indah,nearest bus terminal,Suite,Jayapura,Yogyakarta,3414.685867411479,2561014.4005586095
75,Bus,SAN (Siliwangi Antar Nusa),nearest bus terminal,Suite,Grobogan,Yogyakarta,113.49164077468595,85118.73058101446
76,Plane,Batik Air,Bandar Udara Buli,Business,Maluku Utara,Yogyakarta,2173.4018230230486,4238133.554894945
77,Bus,Haryanto,nearest bus terminal,Economic,Sulawesi Tengah,Yogyakarta,1350.2021561312324,675101.0780656162
78,Train,PT KAI,Wonogiri,Economic,Wonogiri,Yogyakarta,65.11002664,52088.02130800768
79,Bus,Rosalia Indah,nearest bus terminal,Economic,Banjar,Yogyakarta,732.5899586046614,366294.9793023307
80,Train,PT KAI,Pakisaji,Business,Malang,Yogyakarta,249.9132515073408,259909.78156763443
81,Train,PT KAI,Lubuk Buaya,Business,Padang,Yogyakarta,1356.2769455231717,1410528.0233440986
82,Bus,Lorena,nearest bus terminal,Suite,Sukoharjo,Yogyakarta,64.18079446450817,48135.59584838113
83,Plane,Sriwijaya Air,Bandar Udara Danau Toba,Economic,Sumatera Barat,Yogyakarta,1356.2848088436576,2034427.2132654865
84,Train,PT KAI,Sembung,Economic,Jombang,Yogyakarta,211.7850913076902,169428.07304615216
85,Bus,Rosalia Indah,nearest bus terminal,Economic,Sumatera Selatan,Yogyakarta,877.9380166727185,438969.0083363592
86,Train,PT KAI,Krass,Suite,Kediri,Yogyakarta,181.49519008042117,217794.2280965054
87,Train,PT KAI,Kemiri,Suite,Karanganyar,Yogyakarta,87.02743185942376,104432.91823130852
88,Train,PT KAI,Cerme,Business,Gresik,Yogyakarta,350.08148965766696,364084.74924397364
89,Train,PT KAI,Universitas Indonesia,Business,Depok,Yogyakarta,428.9755164057098,446134.5370619382
90,Plane,PT Trigana Air Service,Bandar Udara Binuang,Business,Kalimantan Selatan,Yogyakarta,786.7319481865729,1534127.2989638173
91,Train,PT KAI,Randuangung,Economic,Lumajang,Yogyakarta,315.4223117768743,252337.84942149947
92,Train,PT KAI,Semarang Tawang,Economic,Semarang,Yogyakarta,109.37687454139586,87501.49963311669
93,Train,PT KAI,Wonokerto,Business,Pasuruan,Yogyakarta,282.6093643740866,293913.7389490501
94,Plane,Lion Air,Bandar Udara H.A.S. Hanandjoeddin d.h. Bandar Udara Buluh Tumbang,Economic,Bengkulu,Yogyakarta,997.5854283886057,1496378.1425829085
95,Train,PT KAI,Jerakah,Business,Semarang,Yogyakarta,109.37687454139586,113751.9495230517
96,Train,PT KAI,Duduk,Suite,Gresik,Yogyakarta,350.08148965766696,420097.78758920036
97,Plane,PT Trigana Air Service,Bandar Udara Depati Parbo,Suite,Sumatera Barat,Yogyakarta,1356.2848088436576,3051640.82
98,Train,PT KAI,Kalimas,Business,Surabaya,Yogyakarta,273.8180533906966,284770.77552632446
99,Plane,Sriwijaya Air,Bandar Udara Ahmad Yani,Economic,Jawa Barat,Yogyakarta,324.18707186347507,486280.6077952126
100,Plane,Wings Air,Bandar Udara Komodo,Suite,Sulawesi Tenggara,Yogyakarta,1349.952163038336,3037392.3668362563
101,Train,PT KAI,Barat,Suite,Magetan,Yogyakarta,112.68790797419841,135225.4895690381
102,Train,PT KAI,Sumberejo,Economic,Bojonegoro,Yogyakarta,179.96708290456277,143973.66632365022
103,Bus,Nusantara,nearest bus terminal,Economic,Lebak,Yogyakarta,484.56524675423674,242282.62337711838
104,Plane,Citilink,Bandar Udara Iskandar,Economic,Kalimantan Tengah,Yogyakarta,786.2951946731149,1179442.7920096724
105,Bus,Hiba,nearest bus terminal,Economic,Sorong,Yogyakarta,2446.6384764497907,1223319.2382248954
106,Train,PT KAI,Pakisaji,Suite,Malang,Yogyakarta,249.9132515073408,299895.90180880897
107,Plane,Garuda Indonesia,Bandar Udara Juwata,Suite,Kalimantan Utara,Yogyakarta,1378.4708290615852,3101559.3653885666
108,Train,PT KAI,Cerme,Business,Gresik,Yogyakarta,350.08148965766696,364084.74924397364
109,Bus,Rosalia Indah,nearest bus terminal,Business,Kalimantan Selatan,Yogyakarta,786.7319481865729,511375.7663212725
110,Train,PT KAI,Garum,Economic,Blitar,Yogyakarta,198.62929149028835,158903.43319223067
111,Plane,Citilink,Bandar Udara Bandanaira (Bandar Udara Banda),Suite,Maluku,Yogyakarta,1987.6613976835763,4472238.144788047
112,Plane,Lion Air,Bandar Udara Dabo,Suite,Aceh,Yogyakarta,2014.7223682251845,4533125.328506665
113,Bus,Lorena,nearest bus terminal,Suite,Pasuruan,Yogyakarta,282.6093643740866,211957.02328056496
114,Train,PT KAI,Sumberejo,Business,Bojonegoro,Yogyakarta,179.96708290456277,187165.76622074528
115,Plane,Wings Air,Bandar Udara Iskandar,Business,Kalimantan Utara,Yogyakarta,1378.4708290615852,2688018.116670091
116,Bus,Dewi Sri,nearest bus terminal,Suite,Cirebon,Yogyakarta,243.56079565615678,182670.5967421176
117,Plane,Wings Air,Bandar Udara Iskandar,Suite,Kalimantan Timur,Yogyakarta,1168.2805011804724,2628631.1276560626
118,Plane,NAM Air,Bandar Udara Ahmad Yani,Suite,DKI Jakarta,Yogyakarta,438.967847,987677.6557930335
119,Train,PT KAI,Probolinggo,Business,Probolinggo,Yogyakarta,324.1913946350937,337159.0504204974
120,Plane,NAM Air,Bandar Udara Dabo,Suite,Sumatera Barat,Yogyakarta,1356.2848088436576,3051640.82
121,Train,PT KAI,Maja,Suite,Lebak,Yogyakarta,484.56524675423674,581478.2961
122,Plane,Garuda Indonesia,Bandar Udara Iskandar,Economic,Kalimantan Tengah,Yogyakarta,786.2951946731149,1179442.7920096724
123,Bus,Sinar Jaya,nearest bus terminal,Economic,Banjarmasin,Yogyakarta,696.0241488204558,348012.0744102279
124,Plane,Wings Air,Bandar Udara Adisucipto,Business,Jawa Tengah,Yogyakarta,84.66775283966177,165102.11803734046
125,Train,PT KAI,Tarahan,Suite,Bandar Lampung,Yogyakarta,629.7894061501536,755747.2873801843
126,Train,PT KAI,Gembong,Suite,Lamongan,Yogyakarta,236.16326225674064,283395.91470808873
127,Bus,Rosalia Indah,nearest bus terminal,Economic,Sukoharjo,Yogyakarta,64.18079446450817,32090.397232254083
128,Plane,PT Trigana Air Service,Bandar Udara Fatmawati Soekarno,Business,Sumatera Selatan,Yogyakarta,877.9380166727185,1711979.132511801
129,Plane,Wings Air,Bandar Udara Fatmawati Soekarno,Economic,Bengkulu,Yogyakarta,997.5854283886057,1496378.1425829085
130,Bus,Rosalia Indah,nearest bus terminal,Economic,Boyolali,Yogyakarta,75.14059220340893,37570.296101704465
131,Plane,Lion Air,Bandar Udara Bobong,Economic,Maluku Utara,Yogyakarta,2173.4018230230486,3260102.734534573
132,Plane,Wings Air,Bandar Udara El Tari,Economic,Nusa Tenggara Barat,Yogyakarta,751.9764194127964,1127964.6291191946
133,Train,PT KAI,Ngunut,Suite,Tulungagung,Yogyakarta,169.2547648272099,203105.7177926519
134,Plane,Lion Air,Bandar Udara Internasional Hang Nadim,Suite,Lampung,Yogyakarta,684.1841734461109,1539414.3902537497
135,Plane,Wings Air,Bandar Udara Bintan Baru,Economic,Sumatera Utara,Yogyakarta,1659.117501711117,2488676.2525666757
136,Bus,Haryanto,nearest bus terminal,Business,Sulawesi Barat,Yogyakarta,1169.3609574565219,760084.6223467393
137,Bus,Lorena,nearest bus terminal,Business,Sulawesi Tenggara,Yogyakarta,1349.952163038336,877468.9059749184
138,Train,PT KAI,Cimahi,Business,Cimahi,Yogyakarta,334.9202108675686,348317.01930227136
139,Plane,PT Trigana Air Service,Bandar Udara Internasional Hang Nadim,Business,Lampung,Yogyakarta,684.1841734461109,1334159.1382199163
140,Plane,Batik Air,Bandar Udara Ahmad Yani,Economic,Jawa Barat,Yogyakarta,324.18707186347507,486280.6077952126
141,Plane,Batik Air,Bandar Udara H. Asan,Suite,Kalimantan Utara,Yogyakarta,1378.4708290615852,3101559.3653885666
142,Train,PT KAI,Glenmore,Business,Banyuwangi,Yogyakarta,417.7821639876958,434493.45054720365
143,Train,PT KAI,Lubuk Buaya,Economic,Padang,Yogyakarta,1356.2769455231717,1085021.5564185374
144,Bus,Hiba,nearest bus terminal,Business,Pontianak,Yogyakarta,886.9777055158274,576535.5085852878
145,Train,PT KAI,Cipeuyeum,Business,Cianjur,Yogyakarta,378.0621762662139,393184.6633168624
146,Plane,Citilink,Bandar Udara Ferdinand Lumban Tobing (Bandar Udara Pinangsori),Economic,Bengkulu,Yogyakarta,997.5854283886057,1496378.1425829085
147,Plane,NAM Air,Bandar Udara El Tari,Suite,Bali,Yogyakarta,521.9825957538203,1174460.8404460957
148,Train,PT KAI,Geneng,Suite,Ngawi,Yogyakarta,127.1348515271285,152561.8218325542
149,Plane,Batik Air,Bandar Udara Iskandar,Economic,Kalimantan Barat,Yogyakarta,871.3478269442726,1307021.740416409
150,Plane,Sriwijaya Air,Bandar Udara Depati Amir,Suite,Jambi,Yogyakarta,1080.9267465522385,2432085.1797425365
151,Train,PT KAI,Pemalang,Economic,Pekalongan,Yogyakarta,132.35837071355405,105886.69657084324
152,Train,PT KAI,Geneng,Economic,Ngawi,Yogyakarta,127.1348515271285,101707.8812217028
153,Plane,Batik Air,Bandar Udara Aek Godang,Economic,Sumatera Utara,Yogyakarta,1659.117501711117,2488676.2525666757
154,Plane,Wings Air,Bandar Udara D. C. Saundale d.h. Bandar Udara Lekunik,Suite,Nusa Tenggara Barat,Yogyakarta,751.9764194127964,1691946.9436787919
155,Plane,Lion Air,Bandar Udara Ferdinand Lumban Tobing (Bandar Udara Pinangsori),Economic,Jambi,Yogyakarta,1080.9267465522385,1621390.1198283576
156,Bus,Dewi Sri,nearest bus terminal,Business,Sumatera Utara,Yogyakarta,1659.117501711117,1078426.3761122262
157,Bus,Mayasari,nearest bus terminal,Suite,Pekalongan,Yogyakarta,132.35837071355405,99268.77803516554
158,Bus,Mayasari,nearest bus terminal,Suite,Bandung Barat,Yogyakarta,347.3558014760002,260516.85110700014
159,Train,PT KAI,Ambarawa,Suite,Demak,Yogyakarta,120.35665720273047,144427.98864327656
160,Bus,Mayasari,nearest bus terminal,Suite,Tulungagung,Yogyakarta,169.2547648272099,126941.07362040743
161,Train,PT KAI,Kramat,Business,Jakarta Pusat,Yogyakarta,437.0517885095066,454533.86004988686
162,Train,PT KAI,Cibeber,Suite,Cianjur,Yogyakarta,378.0621762662139,453674.6115194566
163,Bus,Budiman,nearest bus terminal,Suite,Kepulauan Riau,Yogyakarta,1077.3258575676762,807994.3932
164,Bus,Haryanto,nearest bus terminal,Economic,Medan,Yogyakarta,1822.7420375533572,911371.0187766786
165,Bus,Haryanto,nearest bus terminal,Suite,Mojokerto,Yogyakarta,241.18707882277067,180890.30911707802
166,Plane,NAM Air,Bandar Udara Adisucipto,Business,Jawa Timur,Yogyakarta,236.30849522541612,460801.5656895614
167,Bus,Hiba,nearest bus terminal,Business,Palu,Yogyakarta,1312.687130498807,853246.6348242245
168,Plane,Sriwijaya Air,Bandar Udara Lunyuk,Business,Sulawesi Tenggara,Yogyakarta,1349.952163038336,2632406.7179247555
169,Train,PT KAI,Cibadak,Business,Sukabumi,Yogyakarta,413.1162545173275,429640.9046980206
170,Plane,Sriwijaya Air,Bandar Udara Abdulrachman Saleh,Suite,DKI Jakarta,Yogyakarta,438.967847,987677.6557930335
171,Bus,Mayasari,nearest bus terminal,Suite,Tulungagung,Yogyakarta,169.2547648272099,126941.07362040743
172,Train,PT KAI,Kertosono,Business,Nganjuk,Yogyakarta,178.75205838611703,185902.1407215617
173,Train,PT KAI,Singojuruh,Business,Banyuwangi,Yogyakarta,417.7821639876958,434493.45054720365
174,Train,PT KAI,Pondok Cina,Suite,Depok,Yogyakarta,428.9755164057098,514770.61968685174
175,Plane,Garuda Indonesia,Bandar Udara Internasional APT Pranoto (Bandar Udara Samarinda Baru),Business,Kalimantan Tengah,Yogyakarta,786.2951946731149,1533275.6296125741
176,Bus,Nusantara,nearest bus terminal,Economic,Cimahi,Yogyakarta,334.9202108675686,167460.10543378428
177,Train,PT KAI,Barat,Business,Magetan,Yogyakarta,112.68790797419841,117195.42429316635
178,Train,PT KAI,Grogol,Business,Jakarta Barat,Yogyakarta,447.8533791485487,465767.51431449066
179,Train,PT KAI,Wilangan,Economic,Nganjuk,Yogyakarta,178.75205838611703,143001.64670889362
180,Plane,Wings Air,Bandar Udara Bolaang (Bandar Udara Loloda Mokoagow),Economic,Sulawesi Utara,Yogyakarta,1797.541883,2696312.8247770052
181,Bus,Haryanto,nearest bus terminal,Suite,Jawa Tengah,Yogyakarta,84.66775283966177,63500.814629746324
182,Plane,Garuda Indonesia,Bandar Udara Bali Baru,Economic,Bali,Yogyakarta,521.9825957538203,782973.8936307305
183,Train,PT KAI,Kertosono,Economic,Nganjuk,Yogyakarta,178.75205838611703,143001.64670889362
184,Bus,Lorena,nearest bus terminal,Suite,Tulungagung,Yogyakarta,169.2547648272099,126941.07362040743
185,Train,PT KAI,Wonogiri,Business,Wonogiri,Yogyakarta,65.11002664,67714.42770040999
186,Train,PT KAI,Ambarawa,Economic,Demak,Yogyakarta,120.35665720273047,96285.32576218438
187,Plane,Batik Air,Bandar Udara Dabo,Suite,Kepulauan Riau,Yogyakarta,1077.3258575676762,2423983.1795272715
188,Bus,Hiba,nearest bus terminal,Business,Mojokerto,Yogyakarta,241.18707882277067,156771.60123480094
189,Plane,Lion Air,Bandar Udara Mali,Business,Sulawesi Tenggara,Yogyakarta,1349.952163038336,2632406.7179247555
190,Bus,Nusantara,nearest bus terminal,Suite,Nganjuk,Yogyakarta,178.75205838611703,134064.04378958777
191,Train,PT KAI,Caruban,Economic,Madiun,Yogyakarta,149.62256665123383,119698.05332098706
192,Train,PT KAI,Sikampuh,Business,Banjar,Yogyakarta,732.5899586046614,761893.5569488478
193,Bus,Budiman,nearest bus terminal,Economic,Karanganyar,Yogyakarta,87.02743185942376,43513.71592971188
194,Train,PT KAI,Geneng,Business,Ngawi,Yogyakarta,127.1348515271285,132220.24558821364
195,Bus,Budiman,nearest bus terminal,Suite,Jakarta Timur,Yogyakarta,429.14406523784896,321858.0489283867
196,Bus,Mayasari,nearest bus terminal,Suite,Aceh,Yogyakarta,2014.7223682251845,1511041.7761688884
197,Plane,NAM Air,Bandar Udara A.H. Nasution (Bandar Udara Bukit Malintang),Economic,Sumatera Utara,Yogyakarta,1659.117501711117,2488676.2525666757
198,Bus,Budiman,nearest bus terminal,Business,Nganjuk,Yogyakarta,178.75205838611703,116188.83795097607
199,Plane,Lion Air,Bandar Udara Bintan Baru,Economic,Riau,Yogyakarta,1355.379546339091,2033069.3195086364
200,Train,PT KAI,Pondok Cina,Economic,Depok,Yogyakarta,428.9755164057098,343180.4131245678
201,Train,PT KAI,Tasikmalaya,Business,Tasikmalaya,Yogyakarta,260.81634883719096,271249.0027906786
202,Train,PT KAI,Bojong Gede,Business,Bogor,Yogyakarta,422.78231889794927,439693.6116538673
203,Train,PT KAI,Karang Suwung,Business,Cirebon,Yogyakarta,243.56079565615678,253303.22748240305
204,Plane,Batik Air,Bandar Udara Rar Gwamar (Bandar Udara Dobo),Suite,Maluku Utara,Yogyakarta,2173.4018230230486,4890154.101801859
205,Train,PT KAI,Daru,Economic,Tangerang,Yogyakarta,457.6054446069322,366084.3556855458
206,Bus,Mayasari,nearest bus terminal,Economic,Sulawesi Tenggara,Yogyakarta,1349.952163038336,674976.0815
207,Bus,Rosalia Indah,nearest bus terminal,Suite,Cilegon,Yogyakarta,523.5899966739782,392692.4975054837
208,Bus,Dewi Sri,nearest bus terminal,Business,Sidoarjo,Yogyakarta,259.52981703864833,168694.3810751214
209,Plane,NAM Air,Bandar Udara Pantar (Bandar Udara Kabir),Suite,Sulawesi Barat,Yogyakarta,1169.3609574565219,2631062.1542771743
210,Train,PT KAI,Klender Baru,Suite,Jakarta Timur,Yogyakarta,429.14406523784896,514972.8782854188
211,Train,PT KAI,Kadokangabus,Suite,Indramayu,Yogyakarta,848.6203775741213,1018344.4530889457
212,Train,PT KAI,Paron,Economic,Ngawi,Yogyakarta,127.1348515271285,101707.8812217028
213,Plane,Lion Air,Bandar Udara Depati Amir,Suite,Kepulauan Riau,Yogyakarta,1077.3258575676762,2423983.1795272715
214,Bus,Mayasari,nearest bus terminal,Economic,Brebes,Yogyakarta,192.6946821360098,96347.34107
215,Bus,Hiba,nearest bus terminal,Economic,Purworejo,Yogyakarta,53.36856175856877,26684.280879284383
216,Train,PT KAI,Ngrombo,Economic,Boyolali,Yogyakarta,75.14059220340893,60112.473762727146
217,Bus,Dewi Sri,nearest bus terminal,Business,Kalimantan Timur,Yogyakarta,1168.2805011804724,759382.3257673071
218,Bus,Lorena,nearest bus terminal,Economic,Jawa Barat,Yogyakarta,324.18707186347507,162093.53593173754
219,Plane,Sriwijaya Air,Bandar Udara H. Aroeppala,Economic,Sulawesi Utara,Yogyakarta,1797.541883,2696312.8247770052
220,Plane,Lion Air,Bandar Udara Ferdinand Lumban Tobing (Bandar Udara Pinangsori),Suite,Bengkulu,Yogyakarta,997.5854283886057,2244567.213874363
221,Train,PT KAI,Bayeman,Suite,Probolinggo,Yogyakarta,324.1913946350937,389029.6735621124
222,Bus,Haryanto,nearest bus terminal,Business,Sulawesi Barat,Yogyakarta,1169.3609574565219,760084.6223467393
223,Train,PT KAI,Peterongan,Suite,Jombang,Yogyakarta,211.7850913076902,254142.10956922825
224,Bus,Sinar Jaya,nearest bus terminal,Business,Klaten,Yogyakarta,44.33509515234492,28817.811849024198
225,Bus,Dewi Sri,nearest bus terminal,Business,Probolinggo,Yogyakarta,324.1913946350937,210724.4065128109
226,Bus,Budiman,nearest bus terminal,Suite,Surabaya,Yogyakarta,273.8180533906966,205363.54004302243
227,Plane,Lion Air,Bandar Udara Internasional APT Pranoto (Bandar Udara Samarinda Baru),Business,Kalimantan Timur,Yogyakarta,1168.2805011804724,2278146.977301921
228,Plane,Lion Air,Bandar Udara Frans Seda (Bandar Udara Wai Oti) (Bandar Udara Maumere),Suite,Nusa Tenggara Barat,Yogyakarta,751.9764194127964,1691946.9436787919
229,Train,PT KAI,Cibadak,Business,Sukabumi,Yogyakarta,413.1162545173275,429640.9046980206
230,Train,PT KAI,Kawunganten,Suite,Banjar,Yogyakarta,732.5899586046614,879107.9503255936
231,Plane,Citilink,Bandar Udara Iskandar,Economic,Kalimantan Utara,Yogyakarta,1378.4708290615852,2067706.2435923778
232,Bus,Budiman,nearest bus terminal,Suite,Kalimantan Barat,Yogyakarta,871.3478269442726,653510.8702082045
233,Train,PT KAI,Tuban,Suite,Tuban,Yogyakarta,222.3379269,266805.5123
234,Plane,Batik Air,Bandar Udara Adisucipto,Suite,Jawa Timur,Yogyakarta,236.30849522541612,531694.1142571862
235,Plane,Batik Air,Bandar Udara Adisucipto,Suite,DKI Jakarta,Yogyakarta,438.967847,987677.6557930335
